recipe_name;recipe_url;recipe_image;ingredients;raw_ingredients;instructions
Cherry Blueberry Muffins;http://foodandspice.blogspot.com/2009/07/cherry-blueberry-muffins.html;https://spoonacular.com/recipeImages/cherry-blueberry-muffins-716211.jpg;4 tablespoons of almond butter,1/2 cup of almond flour,2 teaspoons of baking powder,1/8 teaspoon of baking soda,1/2 cup of blueberries,1 cup of pitted cherries, roughly chopped,2 eggs,1 tablespoon of lemon juice,2 teaspoons of lemon zest,1/2 teaspoon of sea salt,1/4 cup of sugar,1 1/2 cups of unbleached white flour,2 teaspoons of vanilla,1 cup of yogurt (I used goat milk yogurt);almond butter,almond flour,baking powder,baking soda,blueberries,cherries,eggs,lemon juice,lemon zest,sea salt,sugar,unbleached flour,vanilla,yogurt;<p>Grease twelve regular sized muffin cups well with butter or oil.In a large bowl, combine the flours, baking powder, baking soda, sugar, lemon zest and salt. Make a well in the center of the ingredients and set aside.In another bowl, combine the yogurt with the lemon juice. Add the eggs, one at a time, whisking well after each addition. Now add the vanilla and almond butter and whisk until well combined. Pour this mixture into the dry ingredients and stir just to combine. Gently fold in the cherries and blueberries.Divide the batter evenly into the prepared muffin cups and bake in a preheat 350 degree oven for 20 - 25 minutes, or until a cake tester or toothpick comes out clean. Leave the muffins in the pan for 10 minutes and then transfer to a wire rack to cool.Yields 12 berry filled muffins.</p>
5-Minute Rocky Road Fudge;http://www.foodista.com/recipe/HYGDSRK2/5-minute-rocky-road-fudge;https://spoonacular.com/recipeImages/5-Minute-Rocky-Road-Fudge-631882.jpg;3 c. mini-marshmallows,1/8 t. salt,2 c. (12 oz. pkg.) semi-sweet chocolate chips,14 oz. can sweetened condensed milk,1 t. vanilla extract,1 1/2 c. toasted, chopped walnuts;mini marshmallows,salt,semi sweet chocolate chips,sweetened condensed milk,vanilla extract,walnuts;<ol><li>Line a 13x9-inch pan with foil, lightly spray with cooking spray. Set aside.</li><li>In a large, microwave safe bowl, add chocolate chips and condensed milk. Microwave for about 40 seconds, or until the chips are just melted when you stir them. If needed, continue to microwave in 15 second increments until melted. Do not overcook. Immediately stir in vanilla and salt. Then fold in the marshmallows and nuts.</li><li>Working quickly, spread and press fudge into the prepared pan. Refrigerate until completely cooled before cutting into squares.</li></ol>
Milky Watermelon Drink;http://www.afrolems.com/2016/01/29/milky-watermelon-drink/;https://spoonacular.com/recipeImages/milky-watermelon-drink-716252.jpg;2 pieces of dates (remove the seeds),7 tablespoons of evaporated milk,1/4 teaspoon of grated ginger,1/4 cup of crushed ice.,1 cup of blended watermelon;dates,evaporated milk,ginger,ice,watermelon;Blend all ingredients together till smooth and serve chilled.P:S – If you are wondering where to buy dates, check out supermarkets or the hausa traders at a market. They are more likely to have dates. Does anyone know what dates are called in Hausa? Please leave a comment and help others
Toasted Tropical Marshmallows;http://www.foodista.com/recipe/4GBFJ4LF/toasted-tropical-marshmallows;https://spoonacular.com/recipeImages/Toasted-Tropical-Marshmallows-663466.jpg;1 cup of toasted coconut,Confectioners' sugar for dredging,2/3 cup corn syrup,3 envelopes of unflavored gelatin,2 cups granulated sugar,1/4 cup chopped pecans,1 can of crushed pineapple- squeezed to remove all liquid,1/4 teaspoon salt,1 tablespoon vanilla extract,1/4 cup water;coconut,confectioners' sugar,corn syrup,gelatin,granulated sugar,pecans,pineapple,salt,vanilla extract,water;<ol><li>Line a 9 x 9 pan with foil and spray with non stick spray. Now sift confectioners sugar heavily to coat the surface of the foil.</li><li>In the bowl of an electric mixer, sprinkle gelatin over 1/2 cup cold water. Soak for 10 minutes to bloom.</li><li>Meanwhile, combine sugar, corn syrup, and 1/4 cup water in a small saucepan. Bring to a boil and boil hard until the thermometer reached 240F. Slowly pour boiling syrup into gelatin with the mixer on low. Turn up the speed and add the vanilla & salt and beat for 8 minutes. Now add the toasted pecans and pineapple. Beat for an additional 4 minutes. Scrape into prepared pan. Using an oiled spatula smooth the surface of the marshmallows.</li><li>Set in a draft free area overnight.</li><li>To remove, invert the pan over a cutting board dusted generously with confectioners sugar. Slowly peel the foil away from the marshmallow slab.</li><li>Using a sharp knife cut the slab into marshmallows.</li><li>Roll each marshmallow in the toasted coconut.</li><li>Devour...</li></ol>
Classic Macaroni and Cheese;http://www.foodista.com/recipe/RL6K6X3J/classic-macaroni-and-cheese;https://spoonacular.com/recipeImages/Classic-Macaroni-and-Cheese-639629.jpg;8 tbsp. butter,1⁄2 tsp. cayenne pepper,6 tbsp. flour,1⁄2 cup fresh bread crumbs,1⁄2 cup heavy cream,1 lb. short macaroni, cooked,Salt and freshly ground white pepper,4 cups grated sharp cheddar,3 3⁄4 cups hot whole milk;butter,cayenne pepper,flour,fresh bread crumbs,heavy cream,macaroni,salt and pepper,sharp cheddar,whole milk;"<ol><li>Preheat oven to 350. Melt 6 tbsp. butter in a medium saucepan over low heat. Add flour and cook, stirring constantly, for about 4 minutes.</li><li>Stir in cayenne and season to taste with salt and pepper. Whisk in hot milk, 1/2 cup at a time, and cook, stirring, until sauce thickens. Reduce heat to low and stir in 2 cups of cheese. Cook, stirring, until cheese melts, about 2 minutes.</li><li>Combine pasta and sauce in a large bowl, and season with salt. Sprinkle 1/2 cup cheese over the bottom of a buttered 8  11"" baking dish. Place one-third of the pasta in the baking dish, top with 1/2 cup of cheese, then repeat, layering pasta and cheese, ending with cheese, making three layers in all.</li><li>Pour cream over assembled macaroni and cheese. Melt remaining butter in a skillet. Add bread crumbs, coat with melted butter, and sprinkle over macaroni and cheese.</li><li>Bake until crust is golden, about 30 minutes. Allow to rest for 15 minutes before serving.</li></ol>"""
Homemade Animal Crackers;http://www.foodista.com/recipe/BPVBYNNB/homemade-animal-crackers;https://spoonacular.com/recipeImages/Homemade-Animal-Crackers-646905.jpg;1/4 tsp Allspice,1 tsp Baking Powder,1 cup Brown Sugar,1 stick Butter,1 tsp Cinnamon,2 Tbsp Cocoa Powder (Optional),1 Egg,1 1/2 cups Flour,1/2 cup Oats,1/8 tsp Salt,1 tsp Vanilla;allspice,baking powder,brown sugar,butter,cinnamon,cocoa powder,egg,flour,oats,salt,vanilla;"<ol><li>Cream together the butter and brown sugar.</li><li>Add in the egg and vanilla and combine well.</li><li>Mix in the cinnamon, allspice, and salt.</li><li>Finally, add in the baking powder, oats, flour, and optional cocoa powder. Cocoa powder should be subbed for flour. Simply add the powder to your measuring cup and then fill the rest of the way up with flour.</li><li>Mix it up good and form into a ball. Store in the fridge for a minimum of one hour and up to overnight.</li><li>When ready, pull dough from fridge, grab off a hunk and roll it out to 1/4 thick.</li><li>Cut out crackers and place on a cookie sheet lined with parchment.</li><li>Bake for 5-7 minutes in an oven preheated to 350 degrees.</li></ol>"""
Southern Style Green Bean;http://www.pinkwhen.com/southern-style-green-bean-recipe/;https://spoonacular.com/recipeImages/southern-style-green-bean-715515.jpg;3 bacon slices, cut into one inch slices,½ stick of butter,fresh green beans,5 new potatoes (quartered),2 tsp parsley,½ tsp salt,1 tsp thyme,medium white onion, finely chopped;bacon,butter,green beans,new potatoes,parsley,salt,thyme,white onion;In a medium pot on medium heat, melt butter and then place the bacon pieces into the pot. Allow to cook for a couple of minutes and then add in the onion, thyme, and parsley. Allow to cook for 10 minutes, stirring frequently.Add in the green beans and the quartered new potatoes and then cover with water and turn the heat up until they come to a boil. Once they start a small boil, turn the heat down to a simmer and cover. Cook for 20 minutes covered, stirring occasionally.
Brown Sugar Sponge Cookie w/ Chocolate Covered Caramels;http://www.foodista.com/recipe/54LYK776/brown-sugar-sponge-cookie-w-chocolate-covered-caramels;https://spoonacular.com/recipeImages/Brown-Sugar-Sponge-Cookie-w--Chocolate-Covered-Caramels-636315.jpg;1/3 cup all purpose flour,1/2 teaspoon baking powder,1/4 cup packed dark brown sugar,2 large eggs, separated,1/8 teaspoon grated lemon zest,24 Rolos (or other chocolate covered caramels),1/8 teaspoon salt,1/2 teaspoon vanilla extract;all purpose flour,baking powder,dark brown sugar,eggs,lemon zest,rolos,salt,vanilla extract;<ol><li>Preheat the oven to 375 degrees. Line baking sheets with parchment paper and spray with nonstick cooking spray.</li><li>In the bowl of a stand mixer on medium speed, beat the egg whites until foamy. Add the baking powder, salt and sugar and continue beating on medium speed until stiff peaks form.</li><li>In another bowl combine egg yolks, vanilla and lemon zest, beat with fork until thoroughly mixed. Fold the yolks into the egg white mixture just until combined.</li><li>Sift the flour over the egg mixture and fold in until the batter is smooth and light. Drop just about 2 teaspoons of batter for each cookie about 2 inches apart onto baking sheets. Top each off with a Rolo in the center and press down lightly.</li><li>Bake for 12 minutes or until golden. Cool on the sheets for 5 minutes then move to racks to cool completely.</li></ol>
Beef Lo Mein Noodles;http://www.foodista.com/recipe/8QKG6BC8/beef-lo-mein;https://spoonacular.com/recipeImages/Beef-Lo-Mein-Noodles-634629.jpg;1/2 cup chicken stock,3/4 pound flank steak, trimmed of any fat and cut into thin strips,1 Clove garlic, minced,2 teaspoon ginger, minced,1/4 cup green onions, chopped,1 tablespoon oyster sauce,2 teaspoons sesame oil,8 ounces dried Chinese egg noodles or soba (buckwheat) noodles,2 tablespoons soy sauce,3 tablespoons vegetable oil;chicken stock,flank steak,garlic,ginger,green onions,oyster sauce,sesame oil,soba noodles,soy sauce,vegetable oil;"<ol><li>Drop noodles into a large quantity of boiling water and cook 3-5 minutes, until barely tender to the bite. Drain, rinse with cold water and reserve.</li><li>Combine the beef and oyster sauce in a bowl; stir to coat. Let stand for 10 minutes.</li><li>In another bowl, combine the chicken broth, soy sauce and sesame oil. Set aside.</li><li>Heat a wok over high heat. When hot, add the vegetable oil, swirling to coat the sides. Add the garlic, ginger, and green onions and cook, stirring until fragrant, about 30 seconds. Add the beef and cook, stirring constantly, about 1 minute.</li><li>Add the sauce and noodles.</li><li>Gently toss until heated through and sauce has thickened. Serve immediately.</li></ol>"
Green Apple Salad with Blue Cheese and Walnuts;http://pickfreshfoods.com/2013/06/24/green-apple-salad-with-blue-cheese-and-walnuts/;https://spoonacular.com/recipeImages/green-apple-salad-with-blue-cheese-and-walnuts-715731.jpg;5 ounces baby spinach,Balsamic Vinaigrette,4 Granny Smith cut into ½-inch pieces,5 oz reduced fat blue cheese, crumbled,2 oz walnuts, toasted and coarsely chopped;baby spinach,balsamic vinaigrette,granny smith apple,reduced fat cheese,walnuts;Combine the apples and blue cheese in a large bowl and toss to coat.On each plate place a bed of fresh baby spinach. Top with apple mixture.Sprinkle with walnuts.Drizzle with balsamic vinaigrette and serve.
Mango Banana Coconut Smoothie;http://foodandspice.blogspot.com/2016/08/mango-banana-coconut-smoothie.html;https://spoonacular.com/recipeImages/mango-banana-coconut-smoothie-798956.jpg;1 frozen banana (2/3 cup sliced),2/3 cup coconut milk,3 pitted dates, chopped,1 cup frozen mango pieces (1/2 large mango),1 teaspoon turmeric,1 1/2 cups water;banana,coconut milk,dates,mango,turmeric,water;<p>Prepare the banana the night before. Peel, slice, and place on a small parchment lined tray. Pop into the freezer.The same can be done with the mango, but I used frozen mango pieces for convenience.Toss all of the ingredients into a blender and blend until smooth, adding more water if necessary. If you like, add some freshly squeezed orange juice for a citrusy flavour.Serve cold.</p>
Coffee-Infused Bbq Baby Back Ribs;http://www.foodista.com/recipe/FMGR8DZS/coffee-infused-bbq-baby-back-ribs;https://spoonacular.com/recipeImages/coffee-infused-bbq-baby-back-ribs-639893.jpg;2 rack baby back ribs,1 cup brown sugar,1/2 teaspoon cayenne,4 teaspoons chile powder,3/4 cup cider vinegar,2 teaspoons cumin,2 Tb. Dijon mustard,2 teaspoons dried thyme,3 cloves garlic, minced,2 teaspoons garlic powder,2 teaspoons ground cumin,2 teaspoons instant coffee granules,1 teaspoon liquid smoke,3 Tb. molasses,1 Tb. oil,2 teaspoons paprika,1 teaspoon pepper,2 teaspoons salt,1/2 cup soy sauce,28 ounces can tomato puree;baby back ribs,brown sugar,cayenne,chile powder,cider vinegar,cumin,dijon mustard,dried thyme,garlic,garlic powder,ground cumin,instant coffee granules,liquid smoke,molasses,oil,paprika,pepper,salt,soy sauce,tomato puree;<ol><li>Preheat the oven to *350. Mix the first seven ingredients in a small bowl.</li><li>Cut each rack in several pieces and rub the spices over all the rib sections. You can leave the ribs whole if you like the way they look better--I just think they are easier to handle on the grill in smaller pieces! Pour 4 cups of water and 1 tsp. of liquid smoke in a roasting pan.</li><li>Place the ribs in the pan, top up. Tightly cover the pan with foil and bake for 2 hours. Remove from the oven and rest until ready to grill. Meanwhile, add 1 Tb. oil to a sauce pan over medium heat. Add the garlic and saut for 1-2 minutes. Then add the rest of the ingredients for the BBQ sauce to the sauce pan. Simmer for at least 30 minutes, stirring occasionally.</li><li>Heat a grill over medium-low heat. Brush the ribs completely with BBQ sauce. Place them on the grill and cook for 20 minutes, turning and brushing every 5 minutes until the desired bark has developed.</li><li>It's fun to make your own BBQ sauce. But in a pinch, buy a bottled variety you like and simmer for a few minutes with the coffee granules!</li></ol>
Gluten Free Blueberry Muffins;http://www.foodista.com/recipe/V3JWYJCL/gluten-free-blueberry-muffins;https://spoonacular.com/recipeImages/Gluten-Free-Blueberry-Muffins-644800.jpg;2 teaspoons baking powder,1 1/2 cups Driscoll's Blueberries,2 large eggs,2 cups gluten-free all-purpose flour,2 teaspoons grated lemon zest,1/2 teaspoon salt,3/4 cup sugar,1/2 cup (1 stick) unsalted butter, melted and cooled,1 teaspoon vanilla extract,1/2 cup whole milk,1 teaspoon xanthan gum;baking powder,blueberries,eggs,gluten-free flour,lemon zest,salt,sugar,unsalted butter,vanilla extract,whole milk,xanthan gum;<ol><li>Preheat oven to 375F. Lightly butter or grease a 12-cup muffin pan or line with paper liners.</li><li>Stir together flour, sugar, baking powder, xanthan gum and salt in a medium bowl until blended. Whisk together butter, milk, eggs, lemon zest and vanilla in a large bowl until combined. Stir in flour mixture until partially moistened. Fold in blueberries until evenly mixed. Batter will be thick, do not over stir.</li><li>Divide batter evenly between muffin cups, filling each about three-fourths full.</li><li>Bake 10 minutes. Rotate pan and continue to bake about 10 minutes longer or until muffins are golden brown and toothpick inserted in center comes out clean. Cool in pan 3 minutes. Serve warm or remove to wire rack to cool completely.</li></ol>
White Chocolate Macadamia Banana Bread;http://www.foodista.com/recipe/2SRKJZC6/white-chocolate-macadamia-banana-bread;https://spoonacular.com/recipeImages/White-Chocolate-Macadamia-Banana-Bread-665182.jpg;2 cups all purpose flour,1 teaspoon baking soda,1 2/3 cups mashed ripe banana (about 3 bananas),1 cup (2 sticks) butter, at room temperature,2 eggs, room temperature,1 cup granulated sugar,1/2 teaspoon kosher salt,3/4 cup chopped salted macadamia nuts,1/4 cup 2% milk,4 ounces reduced fat cream cheese,1/2 cup white chocolate chips;all purpose flour,baking soda,banana,butter,eggs,granulated sugar,kosher salt,macadamia nuts,milk,reduced fat cream cheese,white chocolate chips;"<ol><li>Preheat oven to 350 degrees.</li><li>In the bowl of an electric mixer, combine the sugar and butter beating at medium speed until fluffy. On low-speed, add the banana, milk, cream cheese, and eggs mixing until combined.</li><li>In a small bowl, whisk together the flour, baking soda, and salt. Keeping the mixer on low-speed, slowly add the dry ingredients to the wet ingredients. Beat just until blended. Add the nuts and chocolate chips and stir briefly.</li><li>Pour the batter into a 9 x 5"" metal loaf pan coated with cooking spray and bake at 350 degrees for 1 hour or until a toothpick inserted into the center comes out clean. Cool in pan for 10 minutes on a wire rack. Remove from pan and cool on rack.</li></ol>"""
Easy Banana Pudding;http://www.pinkwhen.com/easy-banana-pudding-recipe/;https://spoonacular.com/recipeImages/easy-banana-pudding-715407.jpg;a bushel of bananas,5.1oz package Jello Instant Vanilla Pudding,2 cups milk (I use 2%),14oz can condensed sweetened milk,1 tbsp vanilla,vanilla wafers,12oz can of whipped cream (I use Fat Free);bananas,instant vanilla pudding,milk,sweetened condensed milk,vanilla,vanilla wafers,whipped cream;In a mixing bowl combine your 2 cups of milk with your vanilla pudding mix, and beat accordingly for 2 minutes. Add in your condensed milk and stir well. Add your entire can of whipped cream and your tbsp of vanilla. Mix well.Place in your refrigerator for 30 minutes covered with Saran Wrap. Once cooled and gelled, remove from fridge and alternate pudding, wafers, and banana slices into the serving bowl of your choice. Serve immediately, or place back in the refrigerator until serving.
Chocolate Hazelnut Mousse;http://www.foodista.com/recipe/KKWFXZ8H/chocolate-hazelnut-mousse;https://spoonacular.com/recipeImages/Chocolate-Hazelnut-Mousse-639054.jpg;1 oz chocolate shavings,6 pirouette cookies,1/4 cup chopped hazelnuts,2 teaspoons instant espresso,Dash of Kahlua,1/2 cup Nutella,7 1/2 tablespoons water,1 1/2 cups whipping cream;chocolate shavings,cookies,hazelnuts,instant espresso,kahlua,nutella,water,whipping cream;<ol><li>Dissolve instant espresso in hot water in a medium sized bowl. Add the Nutella and Kahlua, beating until smooth.</li><li>In a mixer, whip the whipping cream until it forms stiff peaks. Gently fold the nutella mixture into the whipped cream until the color is uniform.</li><li>Divide mousse into serving glasses- martini glasses work great! Add toasted hazelnuts, chocolate shavings, and pirouette cookies for decoration</li></ol>
Strawberry Banana Stuffed Pancakes;http://www.foodista.com/recipe/VJPXSCC7/strawberry-banana-stuffed-pancakes;https://spoonacular.com/recipeImages/Strawberry-Banana-Stuffed-Pancakes-661758.jpg;½ teaspoons Baking Soda,1/2 cup Ripe Banana, Mashed,2 whole Egg Whites,1/3 cups Non-Fat Greek Yogurt,Salt,10 whole Strawberries, Fresh, Diced,1 1/2 teaspoons Sugar,½ teaspoons Vanilla Extract,1/3 cups Whole Wheat Pastry Flour;baking soda,banana,egg whites,non-fat greek yogurt,salt,strawberries,sugar,vanilla extract,whole wheat pastry flour;<ol><li>Mix together the Greek yogurt, 1/4 cup banana, egg whites, and vanilla extract into a small bowl.</li><li>In a separate bowl combine flour, baking soda, 1/2 teaspoon sugar, and salt.</li><li>Combine both bowls and whisk until evenly mixed.</li><li>Fold in 5 fresh, chopped strawberries.</li><li>Place 1/4-cup batter onto a non-stick skillet over medium heat and cook until bubbles start appearing through the top of the pancake. Flip (about 2 minutes on each side).</li><li>For the sauce: Add 1/4 cup mashed banana, 5 frozen strawberries, and 1 teaspoon of sugar in a sauce pan (if you use fresh strawberries, add 1 tablespoon of water to the sauce pan). Cook on low, stirring frequently until thickened (about 5-7 minutes.)</li><li>Evenly divide sauce over top of pancakes</li></ol>
Kenyan Pilau;http://www.afrolems.com/2014/08/19/kenyan-pilau-recipe/;https://spoonacular.com/recipeImages/kenyan-pilau-716344.jpg;4 whole black peppercorns,4 cardamom pods,4 cinnamon sticks,4 teaspoons of cumin seed powder,2 cloves of garlic,1/2 teaspoon of ginger,1 pound of goat meat,1 small onion,1.5 cups of Rice ( you can use basmati rice),Salt to taste,1 cup of dressed shrimp,2 small tomatoes,1 cooking spoon of vegetable oil;black peppercorns,cardamom pods,cinnamon sticks,cumin seed,garlic,ginger,meat,onion,rice,salt,shrimp,tomatoes,vegetable oil cooking spray;Season and boil the meat and set aside.Chop and crush all the spices and set aside.Heat up the oil and sauté the onions till its golden brown. Add the meat and allow to brown a little then add the spices, and the rice and the chopped tomatoes.Add the shrimps and add 2 cups of water and reduce the heat and allow to steam.Consistently check it to make sure the water has dried and the rice is soft. Once the rice is soft, increase the heat and stir it to let all the spices be absorbed in the rice.Serve with Kachumbari or any other salad.
French Toast Croissants with Strawberries;http://www.foodista.com/recipe/F3MF6QN4/french-toast-croissants;https://spoonacular.com/recipeImages/French-Toast-Croissants-with-Strawberries-643405.jpg;1/4 cup butter,1/2 cup butter or margarine softened,4 plain croissants split,2 eggs slightly beaten,1/3 cup milk,1 teaspoon orange peel grated,1/4 cup powdered sugar,fresh sliced strawberries;butter,butter,croissants,eggs,milk,orange peel,powdered sugar,strawberries;"<ol><li>In small mixer bowl beat together all orange butter ingredients at medium speed, scraping bowl often, until light and fluffy (1 to 2 minutes); set aside.</li><li>In pie pan stir together milk, eggs and 1 teaspoon orange peel.</li><li>In 10 inch skillet or griddle melt 2 tablespoons butter over medium heat.</li><li>Dip 4 croissant halves into egg mixture, turning to coat both sides.</li><li>Place croissant halves, cut side down, in skillet. Cook, turning once, until golden brown (3 to 4 minutes on each side). Remove to serving platter; keep warm.</li><li>Repeat with remaining 2 tablespoons butter and 4 croissant halves. Dust croissant halves with powdered sugar; serve with orange butter.</li></ol>"
Peanut Butter Sriracha Cookies;http://www.foodista.com/recipe/YGQH8YZV/peanut-butter-sriracha-cookies;https://spoonacular.com/recipeImages/Peanut-Butter-Sriracha-Cookies-655335.jpg;1 teaspoon Baking Powder,1½ teaspoons baking soda,1 cup Brown Sugar (packed),¼ c Sriracha Hot Chili Sauce,1½ cups Crunchy Peanut Butter,2 Eggs,2¾ to 3 cups All-Purpose Flour,Granulated sugar,½ teaspoon Salt,1 cup Sugar,1 cup Unsalted Butter (softened),1 tsp Vanilla extract;baking powder,baking soda,brown sugar,chili sauce,crunchy peanut butter,eggs,flour,granulated sugar,salt,sugar,unsalted butter,vanilla extract;<ol><li>Cream together butter, peanut butter and sugars.</li><li>Slowly add in sriracha, eggs and vanilla. Beat until combined.</li><li>In another bowl mix together flour, baking powder, baking soda and salt.</li><li>Gently mix flour into peanut butter mixture until well combined. Place batter into refrigerator for 1 hour to chill.</li><li>Pre-heat oven to 375 degrees.</li><li>Roll dough into approx 1 sized balls or use a Medium sized cookie scoop/Size 40  1tbs portion. Dip the top of dough ball into granulated sugar and place onto cookie sheet.</li><li>Flatten each ball with a fork, making a criss-cross pattern. Bake for 8-10 minutes or just until the cookies begin to brown. Do NOT over-bake!</li><li>Cool on wire racks and enjoy!</li></ol>
Cheddar Polenta With Bacon Wrapped Asparagus;http://www.foodista.com/recipe/SH7X54WY/cheddar-polenta-with-bacon-wrapped-asparagus;https://spoonacular.com/recipeImages/Cheddar-Polenta-With-Bacon-Wrapped-Asparagus-637516.jpg;6 spears of asparagus,2 slices raw bacon,3/4 cup chicken broth,1/4 cup coarse corn grits,1/4 cup extra sharp cheddar cheese,pepper,salt;asparagus spears,bacon,chicken broth,corn grits,extra sharp cheddar cheese,pepper,salt;<ol><li>Preheat the oven to 400. Wrap 6 thick asparagus spears with two slices of raw bacon.</li><li>Place on a small baking sheet and spritz the bundle with nonstick cooking spray, just to coat the asparagus lightly. Sprinkle with salt and pepper.</li><li>Roast for 15-20 minutes, or until the bacon is crispy and the asparagus is tender.</li><li>Make the cheddar polenta while the asparagus is roasting: Bring chicken broth to a boil in a small saucepan.</li><li>Stir in polenta.Lower the heat and cook slowly for 5 minutes, stirring occasionally until the mixture has thickened.</li><li>Stir in the cheese. I used extra sharp cheddar, but any kind would work. Add a dash of salt and pepper, or more to taste.</li><li>Scoop the polenta in a dish and top with the bacon wrapped asparagus.</li></ol>
Peach Melba;http://www.foodista.com/recipe/YCY2NHKC/peach-melba;https://spoonacular.com/recipeImages/Peach-Melba-655130.jpg;1 tablespoon almonds, flaked,4 tablespoons brandy,1 teaspoon lemon juice,8 peach halves,1 1/2 cups raspberries (fresh or frozen and not thawed),1 sponge cake,4 teaspoons sugar (caster),4 scoops vanilla ice-cream,whipped cream;almonds,brandy,lemon juice,peach,raspberries,sponge cake,sugar,vanilla ice cream,whipped cream;<ol><li>Split cake in half to a thickness of about 3cm and cut 1 half into 4 rounds, roughly the size of a peach half.</li><li>Dice half the peaches.</li><li>Place a round of sponge cake in each glass dish and soak with brandy. Place a peach half on sponge, hollow side up, and place a scoop of ice cream on each peach.</li><li>Pour raspberry syrup over ice cream, decorate with whipped cream and chopped nuts and scatter round diced peach and extra fresh raspberries.</li><li>Raspberry syrup:Place ingredients in blender and puree until smooth. Place in a small saucepan, bring to the boil and simmer 2 minutes. Cool before using.</li></ol>
Whole Wheat Chocolate Chip Cookies;http://www.foodista.com/recipe/KNYGVP3R/whole-wheat-chocolate-chip-cookies;https://spoonacular.com/recipeImages/Whole-Wheat-Chocolate-Chip-Cookies-665276.jpg;1 1/2 teaspoon baking powder,1 teaspoon baking soda,8-12 oz chocolate chips, sugar free,3/4 cup coconut sugar,3/4 cup organic dark brown sugar,2 eggs,1 1/2 teaspoon kosher salt,8 ounces (2 sticks) cold unsalted butter, cut into 1/2-inch pieces,2 teaspoons pure vanilla extract,3 cups whole-wheat flour;baking powder,baking soda,chocolate chips,coconut sugar,dark brown sugar,eggs,kosher salt,unsalted butter,vanilla extract,whole-wheat flour;<ol><li>Place two racks in the upper and lower thirds of the oven and preheat to 350F. Line two baking sheets with parchment paper.</li><li>Sift the dry ingredients into a large bowl, pouring back into the bowl any bits of grain or other ingredients that may remain in the sifter.</li><li>Add the butter and the sugars. Beat with a standing mixer fitted with a paddle attachment. With the mixer on low-speed, mix just until the butter and sugars are blended, about 2 minutes. Use a spatula to scrape down the sides of the bowl.</li><li>Add the eggs one at a time, mixing until each is combined.</li><li>Mix in the vanilla.</li><li>Add the flour mixture to the bowl and blend on low-speed until the flour is barely combined, about 30 seconds, scraping down the sides and bottom of the bowl</li><li>Add the chocolate all at once and mix on low-speed until the chocolate is evenly combined. Use a spatula to scrape down the sides and bottom of the bowl, then scrape the batter out onto a work surface, and use your hands to fully incorporate all the ingredients.</li><li>Scoop mounds of dough about 3 tablespoons in size onto the baking sheet, leaving 3 inches between them, or about 6 to a sheet.</li><li>Bake the cookies for 16 to 20 minutes, rotating the sheets halfway through, until the cookies are evenly brown.</li><li>Transfer the cookies, still on the parchment, to the counter to cool. Give them a quick sprinkling with a pinch of sea salt.</li><li>Repeat with the remaining dough.</li><li>These cookies are best eaten warm from the oven or later that same day. They also keep beautifully in the freezer, either by freezing the dough or freezing the cookies once they're cooled. 20-30 seconds in the microwave is all you need to warm one up!</li></ol>
Fenugreek Roti;http://foodandspice.blogspot.com/2012/07/fenugreek-roti.html;https://spoonacular.com/recipeImages/fenugreek-roti-716202.jpg;1/2 teaspoon ajwain seeds,pinch of asafetida,1/4 teaspoon baking soda,1/2 teaspoon cayenne,1 cup chickpea flour (besan),1/2 teaspoon chili powder,1/2 cup dried fenugreek leaves,ghee or oil for frying,1/2 teaspoon ground coriander,1/2 teaspoon ground cumin,2 tablespoons plain yogurt,1 teaspoon sea salt,1/2 cup whole wheat flour;ajwain seeds,asafetida,baking soda,cayenne,chickpea flour,chili powder,dried fenugreek leaves,ghee,ground coriander,ground cumin,plain yogurt,sea salt,whole wheat flour;Soak the dried fenugreek leaves in warm water for 5 to 10 minutes.  Drain, making sure to squeeze out excess liquid.Sift the flours and baking soda in a small strainer into a medium bowl. Stir in the salt, chili powder, cayenne, cumin, coriander, ajwain seeds, asafetida, yogurt and fenugreek leaves. Mix in about 1/4 cup of water to make a semi-hard batter. Cover and let stand at room temperature for 1 hour. Dusting your hands with flour, divide the dough into 10 to 12 small balls. Roll out each ball into a roughly 3-inch circle. Brush a non-stick pan with a bit of ghee or oil and heat over medium heat. When hot, add a rolled out portion to the pan and cook for 4 minutes or until the bottom is browned. Sprinkle with a bit of oil, flip and fry for another 2 to 3 minutes or until both sides are browned. Transfer to a plate, keep heated in a 150 oven, and repeat for the rest of the pancakes.
